Match,System,P,R,F1,TP,FP,FN
EXACT,Lexicon (ESCO),0.524,0.275,0.361,195,177,514
EXACT,LLM (zero-shot),0.257,0.269,0.263,191,551,518
EXACT,Union (hybrid),0.316,0.474,0.379,336,727,373
RELAXED,Lexicon (ESCO),0.53,0.278,0.364,197,175,512
RELAXED,LLM (zero-shot),0.391,0.409,0.4,290,452,419
RELAXED,Union (hybrid),0.386,0.578,0.463,410,653,299
